date,low,high,open,close,volume
2016-03-11 00:00:00,414.97,421,415.98,419.39,7041.4581430406
2016-03-12 00:00:00,406.52,421.3,419.48,410.58,6897.1050990005
2016-03-13 00:00:00,410.01,416.38,410.56,412.52,4663.3287972501
2016-03-14 00:00:00,411.61,415.84,412.51,415.02,6672.7126524005
2016-03-15 00:00:00,412.48,416.94,415.02,415.41,7355.0795999305
2016-03-16 00:00:00,413,416.39,415.41,416.07,6274.8088109007
2016-03-17 00:00:00,415.7,419.75,416.06,418.41,6108.4432848004
2016-03-18 00:00:00,399.21,418.66,418.42,409.65,8597.5867638009
2016-03-19 00:00:00,404.72,411,409.66,410.2,4840.1335791404
2016-03-20 00:00:00,409.36,415.34,410.09,411.27,4726.1071747202
2016-03-21 00:00:00,406.89,412.13,411.25,412,6020.5181082302
2016-03-22 00:00:00,411,417.79,411.98,416.66,6124.6918560601
2016-03-23 00:00:00,413.95,418.99,416.66,417.53,5506.9194528102
2016-03-24 00:00:00,410,417.72,417.53,412.95,5064.5893652503
2016-03-25 00:00:00,411,416.87,412.86,416.41,4598.6610383002
2016-03-26 00:00:00,414.37,417.77,416.42,416.97,3641.0028567802
2016-03-27 00:00:00,416.35,426.5,416.96,425.3,4658.0980305407
2016-03-28 00:00:00,419.63,425.36,425.29,423,5717.8600706707
2016-03-29 00:00:00,407.75,424.62,422.92,416.39,7361.855275191
2016-03-30 00:00:00,407.56,416.41,416.4,412.79,5831.4936037901
2016-03-31 00:00:00,412.74,417.6,412.97,416.03,5235.5427838502
2016-04-01 00:00:00,414.12,417.68,416.03,417.68,5353.913183851
2016-04-02 00:00:00,417.04,420.5,417.68,419.95,3944.0764839002
2016-04-03 00:00:00,418.33,420.8,419.95,420.16,3266.9738127202
2016-04-04 00:00:00,417.58,421,420.08,419.47,5323.835294621
2016-04-05 00:00:00,418.01,423.43,419.48,422.36,5727.6862963607
2016-04-06 00:00:00,420.61,423,422.4,421.46,5211.9614015305
2016-04-07 00:00:00,419.41,422.74,421.36,421.99,5025.8811866206
2016-04-08 00:00:00,415.71,424.65,421.99,419.48,6434.7500261512
2016-04-09 00:00:00,415.51,419.79,419.48,419.46,3519.9891114905
2016-04-10 00:00:00,419.46,423.99,419.46,423.4,2990.0366443603
2016-04-11 00:00:00,420.15,424,423.29,423.94,5093.2182516103
2016-04-12 00:00:00,423.14,429.77,423.95,427.8,6997.0334985113
2016-04-13 00:00:00,423.59,429.44,427.8,425.58,5885.0451447607
2016-04-14 00:00:00,424.52,428,425.58,426.32,4732.2267217502
2016-04-15 00:00:00,425.72,431.1,426.35,430.93,4184.0093907204
2016-04-16 00:00:00,429.89,434.89,430.82,433.39,4133.9859868206
2016-04-17 00:00:00,429.15,434.93,433.69,431,3299.6904129705
2016-04-18 00:00:00,428.44,434.46,431.08,430.97,5277.3212060607
2016-04-19 00:00:00,429.22,438.2,430.9,437.06,6226.5952807308
2016-04-20 00:00:00,436.17,444.07,437.06,442.96,7150.9566952813
2016-04-21 00:00:00,441.99,453.8,442.87,452.25,7693.4310086111
2016-04-22 00:00:00,445.07,452.95,452.25,448.41,6811.6429212216
2016-04-23 00:00:00,447.03,455.84,448.57,455.69,4618.067159031
2016-04-24 00:00:00,454.55,465,455.68,464.46,6186.4437905609
2016-04-25 00:00:00,454.65,472.38,464.47,466.17,9493.2598468317
2016-04-26 00:00:00,464.01,472.11,466.17,470.59,7471.1075617716
2016-04-27 00:00:00,434,470.79,470.3,445.31,11629.442575902
2016-04-28 00:00:00,434.79,451.88,445.3,451.68,7644.6921046112
2016-04-29 00:00:00,448.5,459.44,451.67,458.82,5965.0973501315
2016-04-30 00:00:00,450.13,459.33,458.8,454.02,4710.0595045002
2016-05-01 00:00:00,451.55,457.07,454.02,456.98,2941.0810104306
2016-05-02 00:00:00,440.02,457.63,456.98,446.42,7694.1182319419
2016-05-03 00:00:00,443.61,453.29,446.53,452.21,5892.4513837215
2016-05-04 00:00:00,446.76,453.23,452.21,448.68,4883.5400147608
2016-05-05 00:00:00,447,451.56,448.59,449.98,5335.519911521
2016-05-06 00:00:00,448.84,463.73,449.99,462.31,6191.7472051519
2016-05-07 00:00:00,459.55,464,462.31,461.91,3463.8802064001
2016-05-08 00:00:00,457.5,465,461.91,462.79,3275.5779424203
2016-05-09 00:00:00,459.41,465.9,462.6,464.16,5882.8415698712
2016-05-10 00:00:00,448.2,465,464.15,452.78,6814.2570551903
2016-05-11 00:00:00,452.5,458.65,452.77,454.37,5746.4054936501
2016-05-12 00:00:00,449.27,456.57,454.56,456.48,6119.0446247607
2016-05-13 00:00:00,453.84,458.03,456.48,457.98,5404.1170297204
2016-05-14 00:00:00,456,459.83,457.97,458.9,3295.1597074001
2016-05-15 00:00:00,458.49,463.62,458.9,461.47,3269.9524574099
2016-05-16 00:00:00,451.48,461.59,461.48,455.66,6019.1723665507
2016-05-17 00:00:00,452.2,457.49,455.64,454.19,6033.9084258503
2016-05-18 00:00:00,453.6,457.88,454.19,455.56,5512.0659486002
2016-05-19 00:00:00,435,456.41,455.56,438.38,8405.7937892417
2016-05-20 00:00:00,435.5,445.85,437.91,445.65,7178.7353620014
2016-05-21 00:00:00,441.88,446.99,445.52,446.28,3945.71821234
2016-05-22 00:00:00,440.89,446.45,446.27,442.48,3779.5197405602
2016-05-23 00:00:00,440.79,446.3,442.45,445.67,5659.3164721803
2016-05-24 00:00:00,440.5,448.5,445.56,446.99,6536.7824736022
2016-05-25 00:00:00,446.86,452.42,446.98,451.49,6167.8661382803
2016-05-26 00:00:00,449,454.99,451.45,454.97,5843.6319740212
2016-05-27 00:00:00,454.35,476.75,454.97,471.27,9886.9864882834
2016-05-28 00:00:00,470.13,539.49,471.21,523.25,12107.098798467
2016-05-29 00:00:00,491.01,549.99,523.35,525.22,9957.4692431848
2016-05-30 00:00:00,519,541,525.22,532.55,5960.3133220129
2016-05-31 00:00:00,520.01,544.9,532.56,531.34,8491.9426813634
2016-06-01 00:00:00,524.39,541.5,531.25,534.84,5736.4938322413
2016-06-02 00:00:00,531.86,541.2,534.85,537.87,6329.8196656917
